"TARGET_DT0","INDEX_VALUE1","TOTAL_EA2","TOTAL_VOLUME3","ANT4","FOREIGNER5","COMPANY6","INVEST_BANK7","INVEST_TRUST8","PENSION_FUND9"
"2005.01.03",893.71,252567,1466793,-488,995,-507,37,-712,-1
"2005.01.04",886.9,331633,1788772,-63,397,-334,-93,-442,124
"2005.01.05",885.19,343142,2062911,10,246,-256,-123,-123,-57
"2005.01.06",871.28,394697,2487650,858,-6,-852,-84,-607,71
"2005.01.07",870.84,294803,1982615,1143,178,-1321,-80,-1232,40
"2005.01.10",874.18,275961,1671258,150,440,-590,192,-806,-78
"2005.01.11",884.29,364432,2211724,-648,-35,682,270,262,-12
"2005.01.12",880.03,321629,2096871,16,966,-982,-107,-186,-744
"2005.01.13",885.54,290672,2098600,-533,-269,802,-628,404,912
"2005.01.14",905.1,356837,3114266,-3914,1892,2022,-133,1661,419
"2005.01.17",923.08,416677,3290808,-2578,3273,-695,-387,-755,128
"2005.01.18",920.57,432798,2746965,-434,1047,-613,97,-825,93
"2005.01.19",916.27,415606,2479902,337,-258,-79,240,-634,163
"2005.01.20",909.37,467070,2247150,605,-199,-406,174,-719,49
"2005.01.21",919.61,463481,2278091,-161,-1518,1678,96,1001,315
"2005.01.24",923.11,527615,2354988,-401,1240,-839,223,-1414,270
"2005.01.25",915.1,486453,2316678,74,408,-481,19,-690,-4
"2005.01.26",927.0,492321,2825530,-1862,694,1168,92,1262,165
"2005.01.27",924.87,500471,2744179,-417,260,157,-105,306,172
"2005.01.28",921.59,393167,2032280,-15,-745,760,95,308,233
"2005.01.31",932.7,466827,2185135,-1202,-468,1670,-65,1824,1
"2005.02.01",923.69,434696,2285611,814,955,-1769,277,-1334,-579
"2005.02.02",921.44,453665,2337752,365,-336,-28,138,-415,117
"2005.02.03",928.79,398293,2306375,-1224,402,822,53,-380,771
"2005.02.04",933.55,385532,2483456,-938,-31,969,147,-486,855
"2005.02.07",949.19,421374,2716950,-1886,1793,93,-520,439,85
"2005.02.11",947.23,381953,2544311,662,1004,-1666,36,-1500,-292
"2005.02.14",964.79,537088,3457610,-2181,913,1268,-210,1215,316
"2005.02.15",968.88,547940,3409356,122,1053,-1175,18,-1751,454
"2005.02.16",971.56,557295,3399001,-122,1195,-1073,-429,-765,154
"2005.02.17",972.56,511739,3307017,-587,474,113,276,-449,163
"2005.02.18",984.1,543689,3464134,-1011,600,412,92,207,103
"2005.02.21",988.71,629088,4442839,3425,1848,-5273,-637,-1408,-2985
"2005.02.22",977.8,631044,3619331,177,1316,-1494,-459,26,-916
"2005.02.23",968.43,483567,3073717,-615,-796,1411,85,1468,-24
"2005.02.24",987.1,581343,3292994,-1046,-85,1131,383,1008,-182
"2005.02.25",996.95,531397,3429888,-1315,1465,-150,204,71,-449
"2005.02.28",1011.36,534145,3699203,-365,2884,-2519,-74,-2430,17
"2005.03.02",1007.48,721282,4618713,2399,385,-2784,-508,-1374,-1054
"2005.03.03",1010.92,615895,3694548,772,-1467,695,46,576,202
"2005.03.04",1012.96,587259,3820318,-296,-428,724,-29,451,316
"2005.03.07",1007.5,599485,4024332,827,-102,-725,-581,-49,51
"2005.03.08",1000.28,588662,3415727,432,-957,525,-277,875,138
"2005.03.09",1008.79,532633,3414029,-1739,-1375,3114,-227,2217,1038
"2005.03.10",998.66,591338,3947604,2346,-1647,-699,-102,-1138,771
"2005.03.11",1022.79,699407,3858483,-1972,-1905,3877,20,2292,1205
"2005.03.14",1019.69,550421,2913865,1196,-291,-904,-43,-948,149
"2005.03.15",993.13,741326,3832324,2428,-30,-2398,-459,-865,-924
"2005.03.16",993.13,669646,3391120,-706,-2025,2731,58,2017,709
"2005.03.17",980.05,745031,3174415,-116,-1402,1518,-12,1080,410
"2005.03.18",979.72,664842,2853793,-1914,-841,2755,78,1836,845
"2005.03.21",979.27,530874,2499183,-924,-370,1294,-42,758,557
"2005.03.22",980.41,520612,2308411,-104,-1148,1252,69,312,854
